Site,Grp,FR.09,NIS.09,FR.17,NIS.17,PNIS.Prop,RD.09,RD.17,Lat,Long,Owner,Area.2007,Area.2017,Area.Change,RdDens.1KM,Conn,Invasive,Richness.09,PNIS.Tot,PNIS.T,FR.T,RD.T,Rich.T
LAYRITZ,31,1,0,1,0,0,,,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,0,0,5
LILDOUG,31,1,0,1,0,0,,,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,0,0,15
MOSSROCK,31,1,0,1,0,0,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,31,,,,,,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,0,0,19
SCAFE-E,31,2,0,1,0,0,,,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,-1,0,20
SCAFE-W,31,1,0,1,0,0,,,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,31,2,0,2,0,0,,,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,31,1,0,1,0,0,,,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,0,0,17
SUMMIT,31,1,0,1,0,0,,,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,0,0,6
XMAS,31,2,0,2,0,0,,,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,0,0,9
